Sample	Angiogenesis	Endothelium	CAF	Matrix	Matrix_remodeling	Protumor_cytokines	Neutrophil_signature	Granulocyte_traffic	Macrophages	Macrophage_DC_traffic	MDSC_traffic	MDSC	Th2_signature	T_reg_traffic	Treg	M1_signatures	MHCII	Antitumor_cytokines	Coactivation_molecules	B_cells	NK_cells	Checkpoint_inhibition	Effector_cells	T_cells	Th1_signature	T_cell_traffic	MHCI	EMT_signature	Proliferation_rate
MM909_01	1.0745964664918406	1.8067528492456966	-0.12277931536184741	-0.8289613246086965	-0.8737045925746819	0.17491786895770323	1.1099807434005204	0.0	0.5794182548516863	1.0396916093838255	0.0	0.8958293881922479	2.3143433053821307	3.0113743810791593	3.191314732194438	1.4823674588699078	0.5018197404992336	1.36745235798453	2.0876460110788155	2.839994519461278	1.8299587285467702	2.169423173443181	1.503780791868639	2.0557674035383826	2.432735166989044	0.7934527366603957	1.605567103220852	-1.4108151775639235	-2.480399211491982
MM909_02	1.0187068213340407	-0.35534299571991523	-0.7164963532657297	-0.5295395885974242	0.05663666926984454	-1.3930225869471788	-0.948368364988635	-0.26733661598775593	-1.5161786538343922	-0.7032292383683678	-0.9107423095147641	-0.6612749869490295	-0.36872902563231624	0.9367771749013255	0.0	-0.19240605102014965	-0.6428383150519535	-1.088884818433452	0.03440779257206444	2.4625578673635222	0.9935553497383904	-0.4331354319104479	0.0	1.0243400223760726	-0.1231325814667374	-1.101999451765143	-0.9263982870604828	1.1396928125806982	-1.7347842694112958
MM909_03	-1.9752854378746445	-2.154192841815961	-0.9051817344350729	-0.859812717393872	-0.5396205038487898	-1.6666301253469273	-0.30687293116061615	-1.235929353216832	-3.1493326386492506	-2.6655835465775493	-2.120257332687239	-2.3858335509036994	-0.9729012024707404	-1.01411377896951	-1.5973474958932186	-1.3628161281020468	-4.182298650988105	-2.601643788442834	-2.455585874674859	-0.5431710808134109	-1.4742734742299595	-2.0081362625957557	-1.898187029082213	-1.275231627984448	-0.6531391493486488	-3.7072376843189434	-3.6208605769655473	2.7144979281019728	-1.0373127286452128
MM909_06	0.49289192501082074	0.667016911301648	1.0288339287048458	0.0	1.6823370130631798	2.2049817172642836	-0.3230044123845425	2.217935086202532	-0.2891179535883314	0.3672619863535405	0.0136984688146437	0.8774139130514383	0.34153389015284924	-1.0827464617905733	-0.7603338390972568	0.3903704882852835	-0.7513548973857404	-0.2062601319958622	-0.1693627918781951	0.4520200172181164	-0.024154926491183608	-0.5473538595721376	-0.490897474669251	-0.3218689234944186	-1.0404999070370264	-0.2751049965897446	-0.708637787201193	1.4724732369917615	0.2919854099831082
MM909_11	-0.4576215158612036	-0.668842945655044	-0.20723294594185665	0.16849739972738667	0.42213415796638276	0.0	0.23514816325446553	0.8261064456773803	0.6080095207752433	0.596860127944501	0.28106978729283244	0.8263088840628645	0.3054709283000508	-0.1324510224150305	0.28589338664435954	0.28507983037562945	0.07903023916124041	0.5433502929557257	1.4243327853718915	-0.04665464715197188	1.3239624853564917	1.146813588278384	0.8664056256294654	1.076686065301484	0.514697195175457	0.7840287570451223	0.8041029575191521	-0.0016315202802552593	0.0
MM909_14	0.36331951044101746	0.11930588660464088	0.23470805168087913	-0.4322964966071339	-0.3900794063873063	-0.678476670532501	1.0872489129470086	-0.7173332576449798	-1.0147868062141936	-0.7817085283570817	-0.7461667940496122	-1.0376164953761204	-0.2316824149482701	0.41217212883926235	0.01632442711048954	-0.08514329283436696	-0.21413980019723136	-0.9000266134776006	-0.35393821143030646	0.4203369346890366	0.9319443008309676	0.35629040664205525	0.8444508124817027	0.7617051144408147	0.4834128189369164	-0.17131571519361244	0.37938625571598855	-0.39045069292833323	1.1282307856550982
MM909_15	-0.4331892129901401	-0.7834850342565235	-1.4085988929285815	-1.7543402672711579	-1.9007500891186353	-1.5884218859409465	-0.506402305109497	0.4318829934621341	-2.0698267142611395	-1.0707677450254556	-1.4624815379737945	-1.3591910239397769	-1.0232063453322353	0.252002679168248	-0.6411820241473954	-0.530141212927431	-0.7494171799442539	-1.1756188106062655	-1.3052164221454945	-0.0016742862610562325	-1.0259322894758924	-1.2273272513680542	-0.979547775831761	-0.854249679590259	-0.6146560957071745	-0.9632659375689527	-0.44099160066944787	0.656079166653675	-0.7635165962001617
MM909_16	-1.3617154596423453	-1.1673276912846622	0.0	0.06728097447424693	-0.2855026738248431	-1.422989392427011	-0.1110886987160099	-0.2700879464870167	-2.242978517898823	-2.575723031030192	-2.3639192161371754	-1.9978558558309822	-0.8946490081672689	-0.1324201153590004	-1.1364343266146544	-1.9994496139084463	-2.1349824709900997	-2.791722175736844	-2.040097685659398	-0.9128537965281682	-1.5773940603961745	-1.5802266567537475	-2.0943893255374233	-1.7606929184743036	-1.1406845736354725	-3.172381142265065	-0.15095048320003962	0.03506266344858519	-1.5482925718941267
MM909_17	0.0	0.11459732917421447	-1.0024233214707492	-1.6772349327238256	-0.09963593922291249	-1.8151568994929779	1.0324307948321654	-0.6541293930672722	-0.7599036611557521	-1.3187349744249033	-1.838663966538874	-1.2987042897874148	-0.28374961811469446	0.2284480069600093	0.06286336923266567	-1.115710681712363	-1.9106660083020512	-0.2205744193252368	-0.5009045043766651	-0.33477010080327535	-1.0146384672403472	-0.5370196791488137	-1.2902902054249756	-1.0660714335960488	-0.581899312328848	-0.8644265539629284	-1.5954087449634509	0.0	0.4167514030539954
MM909_22	2.7115503910836036	2.831132142303241	2.622706733028088	2.9253868251099213	4.16618693829342	2.058261507853978	5.044072990927235	3.403737283680921	1.2624256084029404	1.541402130712974	1.5944443550551306	0.23766318399045205	0.6940669310072707	-1.977286632111888	-0.4634437881304918	2.4636611746389416	0.4688949914568161	1.2763746357766912	0.5797660409286169	-0.374851853041714	0.6088741124679791	0.48907685215844565	0.5602049237592118	0.41888183207050605	-0.40745293287346274	0.5133870343090837	0.8266182384277928	3.288248075116735	-3.2922044445486702
